transaction_id,account_id,department_id,period_id,transaction_date,amount,transaction_type,description,journal_entry_id,legacy_flag
TXN0243,ACC005,DEPT01,PER018,2025-06-07,62925.07,Debit,Cloud Infrastructure - Jun 2025,JE1242,
TXN0230,ACC006,DEPT07,PER017,2025-05-18,,Debit,Third-Party Software Licenses - May 2025,JE1229,
TXN0118,ACC006,DEPT07,PER009,2024-09-12,11673.45,Debit,Third-Party Software Licenses - Sep 2024,JE1117,
TXN0226,ACC002,DEPT06,PER017,2025-05-11,58802.33,Credit,Professional Services Revenue - May 2025,JE1225,legacy_flag
TXN0059,ACC003,DEPT06,PER005,05/19/2024,17229.95,Cr,Support & Maintenance Revenue - May 2024,JE1058,
TXN0248,ACC010,DEPT02,PER018,2025-06-09,9059.76,Debit,Travel & Entertainment - Jun 2025,JE1247,
TXN0304,ACC010,DEPT10,PER022,2025-10-01,,Debit,Travel & Entertainment - Oct 2025,JE1303,legacy_flag
TXN0308,ACC014,DEPT08,PER022,2025-10-17,10536.84,Debit,Depreciation & Amortization - Oct 2025,JE1307,
TXN0183,ACC001,DEPT02,PER014,2025-02-10,243318.39,Credit,Software Subscriptions - Feb 2025,JE1182,
TXN0077,ACC007,DEPT06,PER006,2024-06-06,49633.05,Debit,Professional Services Delivery - Jun 2024,JE1076,
TXN0237,ACC013,DEPT09,PER017,2025-05-16,6701.97,Debit,Legal & Professional Fees - May 2025,JE1236,legacy_flag
TXN0255,ACC003,DEPT06,PER019,2025-07-13,32694.76,Credit,Support & Maintenance Revenue - Jul 2025,JE1254,
TXN0297,ACC003,DEPT06,PER022,2025-10-14,43462.79,Credit,Support & Maintenance Revenue - Oct 2025,JE1296,
TXN0033,ACC005,DEPT01,PER003,03/12/2024,47960.75,Debit,Cloud Infrastructure - Mar 2024,JE1032,legacy_flag
TXN0218,ACC008,DEPT03,PER016,2025-04-21,148415.97,Debit,Salaries & Benefits - Apr 2025,JE1217,
TXN0101,ACC003,DEPT06,PER008,2024-08-15,24651.49,Credit,Support & Maintenance Revenue - Aug 2024,JE1100,
TXN0207,ACC011,DEPT08,PER015,2025-03-10,17444.9,Debit,Rent & Facilities - Mar 2025,JE1206,
TXN0233,ACC009,DEPT03,PER017,2025-05-23,41153.15,Debit,Marketing & Advertising - May 2025,JE1232,
TXN0317,ACC009,DEPT03,PER023,2025-11-12,29475.94,Debit,Marketing & Advertising - Nov 2025,JE1316,legacy_flag
TXN0287,ACC007,DEPT06,PER021,2025-09-21,37419.27,Debit,Professional Services Delivery - Sep 2025,JE1286,
TXN0161,ACC007,DEPT06,PER012,2024-12-25,33929.49,Debit,Professional Services Delivery - Dec 2024,JE1160,
TXN0268,ACC002,DEPT06,PER020,2025-08-02,68675.09,Credit,Professional Services Revenue - Aug 2025,JE1267,legacy_flag
TXN0221,ACC011,DEPT08,PER016,2025-04-20,21182.67,credit,Rent & Facilities - Apr 2025,JE1220,
TXN0300,ACC006,DEPT07,PER022,2025-10-18,13359.98,Cr,Third-Party Software Licenses - Oct 2025,JE1299,legacy_flag
TXN0097,ACC013,DEPT09,PER007,2024-07-01,11166.18,Debit,Legal & Professional Fees - Jul 2024,JE1096,
 TXN0193,ACC011,DEPT08,PER014,2025-02-09,19939.76,Debit,Rent & Facilities - Feb 2025,JE1192,
TXN0098,ACC014,DEPT08,PER007,2024-07-03,6315.46,Debit,Depreciation & Amortization - Jul 2024,JE1097,
TXN0260,ACC008,DEPT06,PER019,2025-07-15,164247.67,Debit,Salaries & Benefits - Jul 2025,JE1259,legacy_flag
TXN0108,ACC010,DEPT10,PER008,2024-08-11,6754.77,Debit,Travel & Entertainment - Aug 2024,JE1107,
 TXN0277,ACC011,DEPT08,PER020,08/15/2025,25418.16,Debit,Rent & Facilities - Aug 2025,JE1276,
TXN0047,ACC999,DEPT01,PER004,2024-04-20,59221.24,Debit,Cloud Infrastructure - Apr 2024,JE1046,
TXN0105,ACC007,DEPT06,PER008,2024-08-09,27107.6,Debit,Professional Services Delivery - Aug 2024,JE1104,legacy_flag
TXN0074,ACC004,DEPT06,PER006,2024-06-15,9484.61,Credit,Training & Certification Revenue - Jun 2024,JE1073,
TXN0009,ACC009,DEPT03,PER001,01/05/2024,26204.49,Debit,Marketing & Advertising - Jan 2024,JE1008,
TXN0252,ACC014,DEPT08,PER018,2025-06-16,9596.33,credit,Depreciation & Amortization - Jun 2025,JE1251,legacy_flag
 TXN0018,ACC004,DEPT06,PER002,2024-02-13,16925.09,Credit,Training & Certification Revenue - Feb 2024,JE1017,
TXN0270,ACC004,DEPT06,PER020,08/22/2025,24262.33,Credit,Training & Certification Revenue - Aug 2025,JE1269,
TXN0139,ACC013,DEPT09,PER010,2024-10-09,11620.67,Debit,Legal & Professional Fees - Oct 2024,JE1138,
TXN0017,ACC003,DEPT06,PER002,2024-02-03,26164.9,Credit,Support & Maintenance Revenue - Feb 2024,JE1016,
TXN0089,ACC005,DEPT01,PER007,2024-07-04,60565.94,Debit,Cloud Infrastructure - Jul 2024,JE1088,
TXN0109,ACC999,DEPT08,PER008,2024-08-17,15865.9,Debit,Rent & Facilities - Aug 2024,JE1108,legacy_flag
TXN0012,ACC012,DEPT04,PER001,2024-01-26,11205.77,Debit,Software & SaaS Tools - Jan 2024,JE1011,legacy_flag
TXN0319,ACC011,DEPT08,PER023,2025-11-28,23203.01,Debit,Rent & Facilities - Nov 2025,JE1318,
TXN0315,ACC007,DEPT06,PER023,2025-11-27,,Debit,Professional Services Delivery - Nov 2025,JE1314,
TXN0228,ACC004,DEPT06,PER017,2025-05-26,16156.86,CREDIT,Training & Certification Revenue - May 2025,JE1227,
TXN0001,ACC001,DEPT02,PER001,2024-01-24,210716.5,Credit,Software Subscriptions - Jan 2024,JE1000,
TXN0066,ACC010,DEPT06,PER005,2024-05-07,7546.18,Debit,Travel & Entertainment - May 2024,JE1065,legacy_flag
TXN0102,ACC004,DEPT06,PER008,2024-08-20,19006.42,Credit,Training & Certification Revenue - Aug 2024,JE1101,
TXN0266,ACC014,DEPT08,PER019,2025-07-06,6669.12,Debit,Depreciation & Amortization - Jul 2025,JE1265,
 TXN0079,ACC009,DEPT03,PER006,2024-06-06,42108.7,Debit,Marketing & Advertising - Jun 2024,JE1078,legacy_flag
TXN0290,ACC010,DEPT02,PER021,09/11/2025,9181.72,Debit,Travel & Entertainment - Sep 2025,JE1289,
TXN0325,ACC003,DEPT06,PER024,2025-12-17,47155.79,debit,Support & Maintenance Revenue - Dec 2025,JE1324,legacy_flag
 TXN0144,ACC004,DEPT06,PER011,2024-11-22,21293.28,Credit,Training & Certification Revenue - Nov 2024,JE1143,legacy_flag
TXN0251,ACC013,DEPT09,PER018,2025-06-04,13164.88,Debit,Legal & Professional Fees - Jun 2025,JE1250,
TXN0321,ACC013,DEPT09,PER023,2025-11-02,8947.25,Debit,Legal & Professional Fees - Nov 2025,JE1320,
TXN0191,ACC009,DEPT03,PER014,2025-02-03,50858.85,Debit,Marketing & Advertising - Feb 2025,JE1190,
TXN0238,ACC014,DEPT08,PER017,2025-05-14,8066.1,Debit,Depreciation & Amortization - May 2025,JE1237,
TXN0293,ACC013,DEPT09,PER021,2025-09-15,12693.34,Debit,Legal & Professional Fees - Sep 2025,JE1292,
TXN0034,ACC006,DEPT01,PER003,2024-03-17,11429.24,Cr,Third-Party Software Licenses - Mar 2024,JE1033,legacy_flag
TXN0184,ACC002,DEPT06,PER014,2025-02-18,69351.7,Credit,Professional Services Revenue - Feb 2025,JE1183,
 TXN0015,ACC001,DEPT02,PER002,2024-02-19,212185.71,Credit,Software Subscriptions - Feb 2024,JE1014,
TXN0285,ACC005,DEPT01,PER021,2025-09-16,47283.83,Debit,Cloud Infrastructure - Sep 2025,JE1284,
TXN0131,ACC005,DEPT01,PER010,2024-10-25,47758.19,Debit,Cloud Infrastructure - Oct 2024,JE1130,
TXN0024,ACC010,DEPT10,PER002,2024-02-23,3800.67,Debit,Travel & Entertainment - Feb 2024,JE1023,
TXN0126,ACC014,DEPT08,PER009,2024-09-13,5485.05,Debit,Depreciation & Amortization - Sep 2024,JE1125,legacy_flag
TXN0150,ACC010,DEPT06,PER011,2024-11-10,8928.0,Debit,Travel & Entertainment - Nov 2024,JE1149,
TXN0184,ACC002,DEPT06,PER014,02/18/2025,69351.7,Credit,Professional Services Revenue - Feb 2025,JE1183,
TXN0053,ACC011,DEPT08,PER004,2024-04-18,14030.02,Debit,Rent & Facilities - Apr 2024,JE1052,legacy_flag
TXN0225,ACC001,DEPT02,PER017,2025-05-25,306752.98,Credit,Software Subscriptions - May 2025,JE1224,legacy_flag
TXN0030,ACC002,DEPT06,PER003,2024-03-21,51535.88,Credit,Professional Services Revenue - Mar 2024,JE1029,
TXN0114,ACC002,DEPT06,PER009,2024-09-18,,Credit,Professional Services Revenue - Sep 2024,JE1113,
TXN0265,ACC013,DEPT09,PER019,2025-07-08,11243.92,Debit,Legal & Professional Fees - Jul 2025,JE1264,
TXN0295,ACC001,DEPT02,PER022,2025-10-28,286187.14,Credit,Software Subscriptions - Oct 2025,JE1294,
TXN0043,ACC001,DEPT02,PER004,2024-04-17,239967.9,Credit,Software Subscriptions - Apr 2024,JE1042,
TXN0039,ACC011,DEPT08,PER003,2024-03-22,14521.62,Debit,Rent & Facilities - Mar 2024,JE1038,legacy_flag
TXN0232,ACC008,DEPT06,PER017,2025-05-16,,Debit,Salaries & Benefits - May 2025,JE1231,
TXN0329,ACC999,DEPT06,PER024,2025-12-28,60897.75,Debit,Professional Services Delivery - Dec 2025,JE1328,
TXN0331,ACC009,,PER024,2025-12-11,42779.62,Debit,Marketing & Advertising - Dec 2025,JE1330,
TXN0130,ACC004,DEPT06,PER010,2024-10-13,6634.55,Credit,Training & Certification Revenue - Oct 2024,JE1129,
TXN0236,ACC012,DEPT07,PER017,2025-05-23,10060.0,Debit,Software & SaaS Tools - May 2025,JE1235,
TXN0016,ACC002,DEPT06,PER002,2024-02-02,,Credit,Professional Services Revenue - Feb 2024,JE1015,
TXN0029,ACC001,DEPT02,PER003,2024-03-07,231183.81,Credit,Software Subscriptions - Mar 2024,JE1028,
TXN0145,ACC005,DEPT01,PER011,2024-11-23,51267.52,Debit,Cloud Infrastructure - Nov 2024,JE1144,
TXN0314,ACC006,DEPT07,PER023,2025-11-27,30257.29,Debit,Third-Party Software Licenses - Nov 2025,JE1313,
TXN0093,ACC009,DEPT03,PER007,2024-07-07,26918.36,Debit,Marketing & Advertising - Jul 2024,JE1092,legacy_flag
TXN0181,ACC013,DEPT09,PER013,2025-01-28,9392.34,Debit,Legal & Professional Fees - Jan 2025,JE1180,
TXN0136,ACC010,DEPT06,PER010,10/12/2024,3313.02,Debit,Travel & Entertainment - Oct 2024,JE1135,legacy_flag
TXN0115,ACC003,DEPT06,PER009,2024-09-23,18552.68,Credit,Support & Maintenance Revenue - Sep 2024,JE1114,
 TXN0135,ACC009,DEPT03,PER010,2024-10-02,36893.43,Debit,Marketing & Advertising - Oct 2024,JE1134,legacy_flag
TXN0021,ACC007,DEPT06,PER002,2024-02-20,28008.17,Debit,Professional Services Delivery - Feb 2024,JE1020,
TXN0202,ACC006,DEPT01,PER015,2025-03-08,24847.28,Debit,Third-Party Software Licenses - Mar 2025,JE1201,
TXN0312,ACC004,DEPT06,PER023,2025-11-28,11777.75,credit,Training & Certification Revenue - Nov 2025,JE1311,
TXN0306,ACC012,DEPT01,PER022,10/15/2025,18515.99,Cr,Software & SaaS Tools - Oct 2025,JE1305,
TXN0175,ACC007,DEPT06,PER013,2025-01-05,37624.95,Debit,Professional Services Delivery - Jan 2025,JE1174,
